team_abbreviation,age,player_height,player_weight,college,country,draft_year,gp,pts,reb,ast,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
POR,27,210.82,99.79024,Tennessee State,USA,1994,21,5.3,3.2,0.9,0.092,0.106,0.14,0.533,0.08
DAL,28,200.66,99.79024,Cal State-Fullerton,USA,1990,47,11.4,4.7,1.3,0.085,0.165,0.249,0.56,0.111
CLE,23,200.66,97.52228,Memphis,USA,1997,82,10.1,4,2,0.036,0.121,0.178,0.514,0.113
NYK,38,203.2,102.0582,Maryland,USA,1981,41,4.9,4.5,0.5,0.128,0.172,0.138,0.56,0.046
POR,26,205.74,115.212368,Xavier,USA,1994,61,12.1,9.1,1.4,0.123,0.213,0.181,0.561,0.077
CLE,22,177.8,78.471416,Stanford,USA,1997,80,9,3.2,8.2,0.033,0.088,0.166,0.515,0.418
SAC,29,205.74,102.0582,Syracuse,USA,1991,78,10.5,7.5,2.8,0.079,0.2,0.183,0.502,0.151
GSW,30,187.96,82.553744,Virginia Tech,USA,1990,53,8,2.3,4.7,0.012,0.078,0.166,0.444,0.28
DET,29,210.82,117.93392,Arizona,USA,1991,78,16.2,8.9,1.2,0.101,0.22,0.241,0.542,0.068
VAN,32,193.04,103.872568,East Carolina,USA,1989,81,10.8,2.7,2.5,0.037,0.093,0.221,0.521,0.17
NJN,24,203.2,99.79024,Indiana,USA,1996,72,4.5,1.9,0.8,0.061,0.124,0.185,0.476,0.105
CLE,25,195.58,90.7184,Florida State,USA,1995,46,5.8,2,3.7,0.033,0.092,0.187,0.463,0.305
DEN,25,185.42,83.91452,Minnesota,USA,1997,68,11.6,4.4,4.7,0.043,0.128,0.232,0.453,0.288
CHH,28,195.58,102.511792,Southern,USA,1991,62,10.4,3.5,3,0.039,0.1,0.178,0.523,0.155
MIA,26,198.12,88.45044,Oregon State,USA,1995,58,10.9,2.9,2.6,0.021,0.102,0.184,0.558,0.153
HOU,29,185.42,83.91452,Oklahoma,USA,1992,72,5.6,1.5,2.7,0.034,0.06,0.156,0.575,0.229
VAN,27,182.88,74.84268,Duke,USA,1993,61,4.1,1.1,2.9,0.016,0.074,0.181,0.461,0.33
DAL,34,205.74,102.0582,Oregon State,USA,1985,82,7.3,8.1,1.5,0.09,0.196,0.118,0.496,0.074
DAL,28,213.36,111.13004,Michigan,USA,1993,39,3.6,3.4,0.6,0.089,0.194,0.16,0.461,0.065
GSW,22,210.82,120.20188,Mississippi State,USA,1996,82,11.8,8.7,1.1,0.108,0.182,0.191,0.502,0.06
MIL,30,210.82,111.13004,New Orleans,USA,1993,81,8,8.5,0.7,0.131,0.241,0.141,0.564,0.04
GSW,30,213.36,120.20188,Louisville,USA,1990,68,2.4,3.3,0.3,0.12,0.187,0.114,0.495,0.033
IND,25,193.04,92.079176,Iowa State,USA,1995,65,4,1.9,0.7,0.02,0.142,0.15,0.517,0.089
DEN,24,193.04,86.18248,Alabama,USA,1997,66,7.7,1.9,1.2,0.034,0.063,0.176,0.478,0.093
POR,33,190.5,83.91452,Michigan,USA,1988,22,4.8,2.2,3.8,0.024,0.127,0.154,0.529,0.389
VAN,27,203.2,103.418976,North Carolina,USA,1993,82,7.5,4.4,1.5,0.115,0.17,0.207,0.526,0.146
PHX,31,203.2,102.0582,Florida State,USA,1989,63,7.2,3.5,1.3,0.042,0.167,0.189,0.507,0.105
ORL,34,198.12,102.0582,Tennessee-Chattanooga,USA,1985,72,5.3,1.3,1.1,0.014,0.075,0.206,0.398,0.112
CHH,31,203.2,99.79024,Michigan,USA,1989,82,22.3,4.3,2.2,0.033,0.097,0.253,0.568,0.099
MIL,25,200.66,104.32616,Purdue,USA,1994,56,23.4,5.5,2.8,0.045,0.119,0.289,0.522,0.132
TOR,23,203.2,113.398,Ohio,USA,1995,54,11.7,6.3,1.3,0.106,0.178,0.228,0.527,0.1
WAS,22,182.88,76.657048,Providence,USA,1997,20,3.1,0.4,1.8,0.013,0.036,0.256,0.428,0.419
PHI,25,190.5,92.532768,Michigan State,USA,1995,64,3.3,1.3,2.8,0.025,0.08,0.14,0.486,0.317
MIA,30,185.42,90.7184,Providence,USA,1991,82,6.2,1.9,2.7,0.034,0.098,0.202,0.52,0.284
GSW,25,205.74,104.32616,Connecticut,USA,1994,73,15.4,8.6,2.2,0.082,0.173,0.221,0.474,0.109
TOR,28,198.12,92.98636,Pepperdine,USA,1992,78,16.5,5.2,3.6,0.035,0.124,0.216,0.53,0.16
PHI,28,190.5,86.18248,La Salle,USA,1991,23,2.7,0.6,1.6,0.009,0.052,0.15,0.443,0.233
MIN,31,198.12,90.7184,Villanova,USA,1989,38,4.1,2.2,1.2,0.037,0.091,0.137,0.416,0.105
ATL,25,195.58,86.636072,Georgia Tech,USA,1996,27,2.1,1.3,1.8,0.024,0.129,0.124,0.64,0.257
MIA,30,213.36,108.86208,Temple,USA,1990,37,2.4,2.7,0.1,0.095,0.219,0.154,0.443,0.024
LAC,27,200.66,97.52228,Nebraska,USA,1994,67,11.3,3.5,1.3,0.045,0.11,0.184,0.591,0.084
ATL,22,190.5,95.25432,California,USA,1997,30,7.6,1.5,1.1,0.023,0.09,0.248,0.492,0.132
HOU,39,200.66,97.52228,Illinois,USA,1981,75,8.4,2,1.2,0.041,0.084,0.202,0.524,0.103
LAL,26,198.12,90.7184,Temple,USA,1994,80,16.8,3.8,3.1,0.034,0.083,0.196,0.591,0.133
LAL,29,213.36,115.66596,Clemson,USA,1990,81,10.1,5.6,1,0.093,0.201,0.223,0.527,0.075
ATL,30,193.04,86.18248,Washington,USA,1992,59,9.3,2.4,2,0.027,0.087,0.186,0.563,0.143
MIL,29,182.88,68.945984,Memphis,USA,1991,81,7.3,1.3,2.8,0.014,0.061,0.194,0.485,0.233
DET,26,213.36,122.46984,North Carolina,USA,1994,48,2.9,4.1,0.2,0.111,0.223,0.126,0.427,0.025
DET,25,203.2,102.0582,Duke,USA,1994,81,21.1,7.7,6.8,0.033,0.192,0.272,0.52,0.309
SEA,29,193.04,81.64656,Oregon State,USA,1990,82,19.2,4.6,8.3,0.03,0.113,0.246,0.544,0.361
ATL,34,208.28,113.398,Houston,USA,1987,50,1.8,2.4,0.3,0.11,0.231,0.126,0.444,0.056
NJN,34,208.28,108.86208,UCLA,USA,1987,16,1.4,0.9,0,0.088,0.25,0.242,0.404,0
UTA,23,185.42,86.18248,Kansas,USA,1997,45,3.1,0.8,1.9,0.012,0.086,0.218,0.457,0.315
IND,25,203.2,95.25432,Michigan,USA,1994,82,9.4,2.4,1.9,0.021,0.12,0.239,0.545,0.18
MIA,25,203.2,113.398,Kentucky,USA,1993,48,15.1,4.9,2.8,0.051,0.107,0.212,0.533,0.134
LAC,24,193.04,88.904032,Florida State,USA,1997,23,2.6,0.6,0.1,0.058,0.067,0.251,0.482,0.056
DET,32,205.74,112.490816,Eastern Michigan,USA,1988,40,3.5,3.8,0.6,0.089,0.154,0.105,0.496,0.056
CHH,30,208.28,112.037224,North Carolina,USA,1989,79,4.9,2.7,0.6,0.078,0.148,0.179,0.517,0.078
MIL,23,203.2,115.66596,Michigan State,USA,1996,45,2.3,2.8,0.4,0.113,0.218,0.125,0.472,0.054
GSW,25,203.2,116.119552,Alabama,USA,1995,80,7.3,4.3,0.8,0.122,0.146,0.207,0.526,0.088
PHX,25,193.04,96.161504,California,USA,1994,82,11.6,6.2,9.1,0.041,0.149,0.176,0.502,0.356
ORL,23,210.82,108.86208,Villanova,USA,1997,17,1.5,1.6,0.3,0.104,0.345,0.111,0.67,0.083
NJN,30,208.28,111.13004,St. John's (NY),USA,1990,65,12.9,13.6,1,0.203,0.23,0.161,0.541,0.045
UTA,35,193.04,86.18248,Iowa State,USA,1986,80,14.2,3.4,4.4,0.035,0.095,0.204,0.587,0.229
VAN,27,208.28,111.13004,Georgia Tech,USA,1994,28,2.1,2.5,0.3,0.102,0.202,0.152,0.413,0.06
LAC,27,187.96,81.64656,Alabama,USA,1993,70,7.7,1.6,1.9,0.033,0.072,0.227,0.494,0.194
HOU,35,213.36,115.66596,Houston,Nigeria,1984,47,16.4,9.8,3,0.086,0.229,0.238,0.531,0.159
BOS,26,198.12,104.32616,Louisville,USA,1994,69,5,2.2,1.3,0.055,0.108,0.153,0.481,0.118
UTA,25,218.44,127.00576,Kansas,USA,1995,63,4.7,5.9,0.4,0.131,0.21,0.133,0.494,0.029
SEA,30,185.42,81.64656,Nevada-Las Vegas,USA,1991,80,5.2,1.4,2.6,0.022,0.106,0.218,0.545,0.344
WAS,32,205.74,102.0582,Oklahoma,USA,1988,65,2.6,2.6,0.6,0.075,0.131,0.12,0.406,0.067
POR,27,195.58,97.52228,Nevada-Las Vegas,USA,1993,74,19.7,4.7,3.1,0.043,0.099,0.263,0.514,0.153
NYK,40,208.28,109.769264,Ohio State,USA,1981,27,1.4,1.1,0.1,0.042,0.16,0.143,0.398,0.041
SEA,31,190.5,90.7184,Bradley,USA,1988,82,10.5,4.1,2.7,0.033,0.116,0.146,0.594,0.125
ORL,32,208.28,111.13004,Clemson,USA,1987,76,12.1,8.1,2.3,0.093,0.166,0.169,0.488,0.11
PHX,35,210.82,111.13004,Tulane,USA,1985,71,3.6,4.4,0.7,0.096,0.163,0.096,0.525,0.053
UTA,25,187.96,81.64656,Boston College,USA,1994,82,7.7,2,4.2,0.019,0.096,0.203,0.541,0.347
DAL,28,195.58,83.007336,North Carolina,USA,1992,81,11.1,2.1,2,0.015,0.065,0.173,0.549,0.114
LAC,28,208.28,122.46984,Arizona State,USA,1991,78,13.5,7.1,2.2,0.104,0.181,0.248,0.512,0.14
CLE,27,193.04,78.925008,Indiana,USA,1993,6,2.7,0.2,1,0,0.024,0.191,0.621,0.2
UTA,29,210.82,113.398,Texas-El Paso,USA,1990,78,5.7,3.5,0.7,0.08,0.157,0.17,0.483,0.054
LAC,23,205.74,115.66596,Baylor,USA,1998,21,4.1,2.5,0,0.085,0.152,0.182,0.503,0.007
DET,24,195.58,94.800728,UCLA,USA,1997,18,3.1,1.9,0.7,0.117,0.101,0.191,0.47,0.126
MIN,25,203.2,99.79024,Indiana,USA,1996,16,2.1,1.2,0.9,0.043,0.107,0.135,0.372,0.188
VAN,26,213.36,124.7378,Oklahoma State,USA,1995,25,10.8,5.5,1.5,0.082,0.149,0.228,0.449,0.099
CLE,23,177.8,78.471416,Stanford,USA,1997,39,9.6,3.4,7.7,0.017,0.118,0.19,0.495,0.442
POR,27,205.74,115.212368,Xavier,USA,1994,48,11.5,9.8,1.4,0.138,0.222,0.174,0.571,0.073
DEN,28,195.58,94.347136,Virginia,USA,1992,46,7,2.3,1.8,0.028,0.077,0.139,0.498,0.113
HOU,36,198.12,114.305184,Auburn,USA,1984,42,16.1,12.3,4.6,0.14,0.261,0.225,0.546,0.216
UTA,28,200.66,102.0582,Long Beach State,USA,1993,50,12.4,5.3,1.5,0.049,0.13,0.17,0.572,0.072
WAS,27,200.66,97.52228,Indiana,USA,1993,50,7.7,2.8,1.5,0.03,0.104,0.179,0.433,0.096
DEN,32,205.74,102.0582,Houston,USA,1990,28,2.3,2.2,0.1,0.085,0.147,0.143,0.402,0.025
CLE,24,200.66,102.0582,Memphis,USA,1997,50,9.1,3.9,2.3,0.037,0.121,0.186,0.46,0.137
HOU,30,185.42,83.91452,Oklahoma,USA,1992,40,7.3,2,2.8,0.029,0.082,0.17,0.624,0.227
HOU,24,190.5,83.91452,Valparaiso,USA,1998,34,3.5,0.9,1.5,0.008,0.073,0.171,0.445,0.193
CHI,27,198.12,88.45044,Oregon State,USA,1995,37,11.1,3.9,3.1,0.036,0.111,0.186,0.514,0.193
UTA,25,198.12,95.25432,Georgia,USA,1996,50,8.5,2.6,1.1,0.059,0.09,0.215,0.511,0.105
TOR,35,205.74,111.13004,Virginia Union,USA,1985,50,7,7.5,3.4,0.068,0.204,0.129,0.479,0.171
POR,34,220.98,132.448864,None,Lithuania,1986,50,12.1,7.9,2.4,0.078,0.254,0.219,0.546,0.156
IND,24,205.74,106.59412,Providence,USA,1997,27,3.4,1.7,0.4,0.071,0.152,0.208,0.54,0.075
ORL,31,187.96,83.91452,Iowa,USA,1989,32,3.3,1.2,1.9,0.007,0.111,0.16,0.54,0.305
NYK,26,205.74,108.86208,Arizona,USA,1996,8,2.1,1.4,0.4,0.3,0.154,0.341,0.433,0.25
MIN,27,205.74,99.79024,Boston College,USA,1994,35,2.2,1.5,0.4,0.058,0.103,0.107,0.477,0.05
CHI,36,213.36,125.644984,St. John's (NY),USA,1985,38,3.8,2.1,0.5,0.048,0.159,0.218,0.381,0.085
SEA,30,203.2,99.79024,Syracuse,USA,1991,21,7.8,3.8,1.8,0.087,0.128,0.21,0.452,0.133
GSW,31,187.96,82.553744,Virginia Tech,USA,1990,48,9.5,2.4,4.6,0.017,0.082,0.187,0.496,0.286
DET,30,210.82,117.93392,Arizona,USA,1991,49,10.5,5.6,1.4,0.099,0.187,0.243,0.531,0.115
MIA,33,193.04,90.7184,East Carolina,USA,1989,24,3.2,1.4,1.3,0.031,0.096,0.168,0.495,0.19
CLE,26,195.58,90.7184,Florida State,USA,1995,50,4.3,2,3,0.032,0.124,0.194,0.419,0.361
MIN,26,185.42,83.91452,Minnesota,USA,1997,50,7.1,2.7,3.3,0.048,0.117,0.217,0.461,0.305
CHH,29,195.58,102.511792,Southern,USA,1991,43,14.3,4,3.5,0.031,0.095,0.2,0.537,0.168
POR,22,195.58,95.25432,Ball State,USA,1998,7,4.4,1.3,0.4,0.125,0.125,0.389,0.555,0.231
PHX,33,208.28,110.676448,Kansas,USA,1988,50,9.1,4.4,2.3,0.064,0.16,0.2,0.52,0.168
LAC,23,193.04,87.996848,New Mexico,USA,1997,23,3.7,1,0.6,0.025,0.069,0.178,0.404,0.071
SAC,25,200.66,111.13004,Arkansas,USA,1995,50,13.2,4.1,1.3,0.064,0.089,0.217,0.517,0.076
DEN,26,185.42,86.18248,Virginia,USA,1995,36,7.3,2.1,3.3,0.01,0.102,0.2,0.467,0.275
CHI,23,193.04,95.25432,Texas Tech,USA,1998,42,4.1,1.2,1.6,0.015,0.082,0.21,0.372,0.206
HOU,23,193.04,86.18248,Rhode Island,USA,1998,49,9.9,2.3,2.5,0.019,0.067,0.174,0.537,0.137
IND,30,210.82,104.32616,Clemson,USA,1991,50,8,8.3,0.4,0.137,0.205,0.138,0.559,0.025
SEA,38,200.66,92.98636,Tennessee,USA,1983,48,10.3,2.4,0.8,0.024,0.085,0.175,0.581,0.055
POR,25,177.8,77.564232,Arizona,USA,1995,50,12.6,3.3,6.2,0.029,0.084,0.215,0.462,0.322
CLE,30,208.28,109.769264,Cincinnati,USA,1993,34,2.9,4.4,0.4,0.127,0.196,0.126,0.404,0.037
MIA,33,198.12,99.79024,Central Michigan,USA,1988,48,7,4.3,3.1,0.017,0.13,0.113,0.529,0.151
BOS,32,180.34,73.935496,Boston College,USA,1989,50,9.3,2.1,4.2,0.016,0.09,0.192,0.576,0.3
CLE,32,208.28,106.59412,Duke,USA,1989,50,7,2,1.1,0.021,0.105,0.169,0.562,0.101
DEN,23,200.66,117.93392,Cincinnati,USA,1997,50,11,11.6,0.6,0.167,0.312,0.179,0.564,0.038
MIL,35,205.74,117.93392,Nevada-Las Vegas,USA,1987,34,8.3,3.7,0.6,0.061,0.166,0.222,0.525,0.053
SAS,33,215.9,113.398,Navy,USA,1987,49,15.8,10,2.1,0.113,0.235,0.24,0.564,0.12
ORL,40,210.82,117.93392,Syracuse,USA,1981,19,1.5,0.7,0.2,0.026,0.098,0.131,0.431,0.044
CHI,21,198.12,90.7184,Oregon State,USA,1998,30,3.9,1.3,0.3,0.058,0.095,0.227,0.438,0.065
PHX,32,208.28,102.0582,Connecticut,USA,1989,50,16.4,4.5,2.6,0.045,0.108,0.218,0.559,0.128
NYK,28,187.96,86.18248,Florida State,USA,1994,50,7.6,3.4,5.4,0.018,0.108,0.152,0.513,0.289
DEN,22,190.5,91.625584,Colorado,USA,1997,45,13.9,2.1,3.8,0.019,0.059,0.203,0.547,0.192
VAN,26,210.82,108.86208,Duke,USA,1995,48,5.5,5.1,0.8,0.076,0.18,0.144,0.445,0.057
DAL,24,213.36,112.944408,None,USA,1997,41,3.3,2.4,0.7,0.083,0.155,0.18,0.418,0.093
NJN,25,198.12,99.79024,Southern Illinois,USA,1995,39,5.3,1.8,0.6,0.054,0.129,0.247,0.465,0.102
ATL,24,205.74,106.59412,Marquette,USA,1997,42,6.9,2.1,0.6,0.056,0.077,0.205,0.504,0.059
NYK,34,210.82,117.93392,Yale,USA,1987,46,2.5,4.2,0.2,0.145,0.198,0.107,0.454,0.017
MIL,31,208.28,104.32616,Old Dominion,USA,1991,48,5.7,3.7,0.7,0.08,0.195,0.223,0.445,0.077
GSW,29,200.66,97.975872,Arizona,USA,1993,47,10.3,5,2.2,0.039,0.146,0.18,0.488,0.13
PHX,33,203.2,103.418976,Auburn,USA,1988,44,4.2,2.8,0.5,0.111,0.15,0.161,0.544,0.073
IND,35,200.66,97.52228,St. John's (NY),USA,1985,50,10.1,3.2,1.6,0.027,0.127,0.194,0.616,0.112
SAC,26,208.28,111.13004,Michigan,USA,1993,42,20,13,4.1,0.093,0.237,0.249,0.491,0.171
WAS,27,182.88,79.3786,Clemson,USA,1993,39,4.8,1.2,1.8,0.02,0.102,0.214,0.551,0.276
DET,29,210.82,111.13004,Duke,USA,1992,16,7.6,3.4,1.5,0.072,0.132,0.207,0.462,0.14
CHH,35,203.2,106.59412,Auburn,USA,1986,50,6.1,2.6,1.2,0.021,0.127,0.163,0.5,0.107
CHH,31,203.2,97.52228,North Carolina State,USA,1989,48,8.5,3.6,1.2,0.037,0.133,0.175,0.51,0.086
MIA,28,200.66,120.20188,Southern Mississippi,USA,1992,49,8.1,5,0.7,0.094,0.191,0.19,0.607,0.065
CHH,33,210.82,111.13004,North Carolina State,USA,1988,32,3.3,4,0.4,0.142,0.264,0.169,0.521,0.07
DEN,24,205.74,99.79024,Alabama,USA,1995,50,21.2,10.7,1.6,0.097,0.229,0.273,0.515,0.085
ATL,30,203.2,97.52228,Michigan State,USA,1991,36,18.7,4.2,3.3,0.047,0.086,0.265,0.526,0.178
IND,30,205.74,104.32616,Texas-El Paso,USA,1990,49,9.4,7,0.7,0.108,0.22,0.181,0.535,0.049
LAL,24,213.36,106.59412,Connecticut,USA,1996,37,4.2,3.5,0.8,0.077,0.195,0.15,0.546,0.087
IND,26,180.34,82.553744,Georgia Tech,USA,1995,49,7.1,1.6,3.4,0.022,0.073,0.188,0.507,0.308
WAS,27,200.66,103.418976,UCLA,USA,1992,36,6.5,2.3,0.8,0.029,0.12,0.197,0.456,0.07
TOR,20,203.2,95.25432,None,USA,1997,49,9.3,5.7,2.3,0.123,0.169,0.214,0.504,0.187
VAN,31,205.74,113.398,Maryland,USA,1990,43,11.2,6,0.5,0.086,0.184,0.208,0.527,0.039
GSW,25,187.96,87.089664,Kentucky,USA,1996,36,6.8,1.5,2.6,0.017,0.07,0.227,0.433,0.276
BOS,23,210.82,108.86208,Texas Tech,USA,1997,50,6.7,6,1.1,0.096,0.209,0.143,0.541,0.077
CHI,30,210.82,105.233344,None,Croatia,1990,44,18.8,7,5.3,0.044,0.179,0.275,0.491,0.305
MIN,32,205.74,102.0582,Georgia Tech,USA,1989,49,4.3,2.8,0.4,0.083,0.142,0.154,0.5,0.047
UTA,24,210.82,115.66596,North Carolina State,USA,1996,42,3.4,2.4,0.1,0.077,0.183,0.175,0.486,0.023
PHX,23,198.12,96.615096,UCLA,USA,1998,27,2.9,2,0.5,0.101,0.146,0.185,0.425,0.083
MIL,22,208.28,104.32616,Villanova,USA,1997,50,7.2,2.5,0.9,0.074,0.118,0.212,0.545,0.1
MIA,32,182.88,88.45044,Texas-El Paso,USA,1989,48,17.4,3.2,7.3,0.011,0.088,0.263,0.511,0.383
SAS,23,213.36,112.490816,Wake Forest,US Virgin Islands,1997,50,21.7,11.4,2.4,0.098,0.221,0.274,0.541,0.117
UTA,38,210.82,112.037224,North Carolina State,USA,1983,43,4.2,2.2,0.6,0.085,0.132,0.19,0.476,0.093
PHI,26,208.28,102.0582,Wyoming,USA,1995,50,11.2,8.1,0.6,0.098,0.197,0.174,0.539,0.033
PHX,29,208.28,108.86208,North Carolina State,USA,1992,43,17,8.9,2.8,0.095,0.188,0.222,0.545,0.134
ATL,36,198.12,102.0582,DePaul,USA,1985,47,7.5,3.1,0.9,0.04,0.12,0.179,0.477,0.08
SAS,33,213.36,108.86208,Vanderbilt,USA,1988,37,2.4,3.7,0.5,0.096,0.245,0.098,0.63,0.064
CLE,28,198.12,88.45044,Auburn,USA,1994,45,11.2,3.2,1.8,0.018,0.115,0.178,0.546,0.111
BOS,25,208.28,104.32616,Kentucky,USA,1996,32,5.7,3.6,1.3,0.059,0.133,0.161,0.448,0.093
POR,29,203.2,104.32616,Maryland,USA,1992,48,9.3,3,1.7,0.041,0.113,0.196,0.566,0.132
SEA,23,213.36,107.047712,None,Georgia,1998,23,5.5,3.3,0.5,0.101,0.166,0.244,0.445,0.065
SAC,31,215.9,117.93392,None,Serbia and Montenegro,1989,50,14.3,10,4.3,0.082,0.21,0.194,0.533,0.19
BOS,24,208.28,127.00576,Wright State,Ukraine,1996,50,10,6.6,1.5,0.099,0.191,0.195,0.52,0.095
MIL,32,193.04,83.91452,North Carolina State,USA,1988,48,5.9,2.1,3.6,0.015,0.098,0.154,0.481,0.269
TOR,22,200.66,97.52228,North Carolina,USA,1998,50,18.3,5.7,3,0.061,0.127,0.257,0.516,0.164
SEA,27,210.82,113.398,Hartford,USA,1993,34,13.8,6.2,1.6,0.088,0.125,0.233,0.461,0.086
SAC,33,193.04,86.18248,Florida,USA,1988,46,10.7,1.8,1.7,0.014,0.078,0.234,0.522,0.129
LAL,22,182.88,79.3786,Nebraska,USA,1998,15,5,0.3,1.7,0.006,0.025,0.199,0.505,0.207
PHI,31,205.74,113.398,Xavier,USA,1990,38,8.6,7.6,0.9,0.116,0.188,0.165,0.487,0.056
MIA,36,190.5,88.45044,Wisconsin-Stevens Point,USA,1985,50,10.5,2.8,2.9,0.013,0.106,0.187,0.603,0.212
VAN,27,193.04,86.18248,Seton Hall,USA,1993,26,3.2,0.9,1,0.027,0.067,0.165,0.471,0.171
NYK,28,198.12,90.7184,Tennessee,USA,1993,50,16.3,3,2.7,0.013,0.08,0.241,0.515,0.152
PHI,24,182.88,74.84268,Georgetown,USA,1996,48,26.8,4.9,4.6,0.038,0.101,0.323,0.508,0.234
MIA,29,208.28,118.387512,Georgetown,USA,1992,46,20.1,11,1.6,0.125,0.216,0.27,0.564,0.086
TOR,24,195.58,83.91452,Villanova,USA,1997,50,5,1.6,2.6,0.02,0.067,0.137,0.477,0.207
MIN,23,205.74,107.954896,Indiana,USA,1998,35,3.3,1.9,0.4,0.104,0.144,0.206,0.505,0.094
CLE,26,208.28,104.32616,Florida,USA,1995,47,7.9,5.4,0.7,0.11,0.172,0.166,0.549,0.049
CHI,33,210.82,111.13004,Arkansas,USA,1988,21,3.8,4.4,0.6,0.096,0.196,0.155,0.367,0.058
ORL,27,200.66,97.52228,Memphis,USA,1993,50,15.8,5.7,5.3,0.044,0.127,0.224,0.488,0.248
GSW,23,205.74,101.151016,North Carolina,USA,1998,47,9.6,6.4,0.7,0.12,0.173,0.216,0.487,0.058
ATL,24,190.5,86.18248,College of Charleston,USA,1997,49,5,1.5,2.2,0.022,0.077,0.177,0.467,0.249
HOU,27,205.74,115.66596,Michigan State,USA,1994,29,2.4,2.3,0.2,0.136,0.177,0.142,0.502,0.044
MIN,29,193.04,94.347136,Missouri,USA,1992,28,9.6,3,2.8,0.037,0.081,0.172,0.465,0.139
HOU,37,205.74,122.46984,Wichita State,USA,1983,18,2.6,1.7,0.5,0.065,0.151,0.198,0.427,0.107
BOS,22,205.74,111.13004,Kentucky,USA,1996,42,18.7,8.5,3.1,0.073,0.194,0.273,0.476,0.152
SAS,24,193.04,90.7184,Bowling Green,USA,1997,47,4.7,1.1,2.3,0.025,0.07,0.192,0.52,0.31
ATL,26,205.74,106.59412,Indiana,USA,1995,38,12.5,6.6,0.7,0.102,0.152,0.224,0.485,0.048
IND,19,205.74,104.32616,None,USA,1998,21,2.1,1.9,0.2,0.132,0.148,0.21,0.359,0.06
GSW,24,208.28,113.398,Colgate,St. Vincent & Grenadines,1997,44,2.9,4.4,0.4,0.14,0.202,0.126,0.45,0.049
GSW,38,205.74,113.398,DePaul,USA,1982,50,9.1,5.1,1.2,0.099,0.179,0.231,0.479,0.107
MIN,29,180.34,78.471416,Oregon,USA,1991,36,13.9,3.7,8.6,0.024,0.109,0.229,0.463,0.411
SAC,24,198.12,101.151016,San Jose State,France,1997,49,9.3,3.8,1,0.062,0.098,0.188,0.486,0.062
DAL,25,190.5,88.45044,Santa Clara,Canada,1996,40,7.9,2.9,5.5,0.028,0.073,0.151,0.471,0.269
SAS,33,190.5,82.100152,Arizona,USA,1988,44,4.4,1,1.1,0.01,0.055,0.134,0.507,0.111
NJN,22,187.96,81.64656,Georgia Tech,USA,1996,49,21.3,2.9,8.9,0.02,0.067,0.271,0.519,0.411
HOU,29,213.36,131.54168,Louisiana State,USA,1991,6,2.3,1.8,0,0.167,0.212,0.304,0.424,0
POR,30,203.2,92.98636,Nevada-Las Vegas,USA,1991,48,4.3,2.6,1.2,0.066,0.101,0.128,0.501,0.109
LAC,32,185.42,88.45044,Syracuse,USA,1989,30,8.2,1.9,4.1,0.021,0.064,0.171,0.48,0.248
CLE,29,208.28,127.00576,Trinity Valley Community College,USA,1989,42,20.5,9.2,2.4,0.114,0.218,0.281,0.578,0.14
DAL,27,228.6,119.294696,Brigham Young,USA,1993,49,8.6,8,0.8,0.114,0.226,0.164,0.527,0.051
DAL,35,205.74,102.0582,Oregon State,USA,1985,50,4.9,4.6,0.5,0.097,0.179,0.148,0.441,0.043
PHI,26,195.58,94.800728,Temple,USA,1994,50,4.8,2.8,2,0.033,0.139,0.152,0.454,0.183
UTA,29,205.74,104.32616,Stanford,USA,1992,44,4,3.2,0.6,0.103,0.16,0.142,0.533,0.074
LAL,27,215.9,142.88148,Louisiana State,USA,1992,49,26.3,10.7,2.3,0.135,0.227,0.325,0.584,0.132
MIN,32,210.82,113.398,Indiana,USA,1988,49,5.5,5.2,0.6,0.099,0.185,0.12,0.533,0.04
DET,30,193.04,83.91452,Temple,USA,1991,7,1.3,0.7,0.6,0.048,0.036,0.165,0.225,0.078
PHI,29,215.9,112.490816,Georgia Tech,USA,1992,50,13.5,7.2,1.2,0.103,0.173,0.217,0.532,0.071
ORL,23,200.66,104.779752,Georgia Tech,USA,1998,50,8.2,4.3,0.9,0.09,0.14,0.184,0.533,0.072
LAC,22,205.74,117.93392,Michigan,USA,1997,46,16.8,5.3,1.5,0.075,0.119,0.27,0.505,0.087
IND,34,190.5,83.91452,St. John's (NY),USA,1987,49,7.6,3.8,7.9,0.029,0.121,0.159,0.513,0.423
HOU,24,195.58,86.18248,Arizona,USA,1998,50,10.9,1.7,1.9,0.021,0.039,0.169,0.554,0.101
DAL,26,200.66,97.52228,Wisconsin,USA,1995,50,20.2,5.3,4.4,0.037,0.106,0.242,0.517,0.193
LAC,24,213.36,122.016248,Pacific,Nigeria,1998,45,8.9,7.9,0.6,0.107,0.24,0.194,0.445,0.034
VAN,27,203.2,104.32616,Providence,USA,1994,48,4.8,7.3,1,0.143,0.235,0.11,0.574,0.074
VAN,21,187.96,86.18248,Arizona,USA,1998,50,13.2,2.7,6.5,0.02,0.072,0.215,0.487,0.343
WAS,33,195.58,99.79024,Kansas State,USA,1988,50,19.7,3.4,2.4,0.018,0.089,0.258,0.527,0.114
ORL,22,210.82,118.841104,Utah,USA,1998,49,6.2,3,0.4,0.097,0.13,0.186,0.503,0.044
